w,th,s,cat
ball,ลูกบอล,Ball is fun.|We like ball.,play
pencil,ดินสอ,This is my pencil.|I like the pencil.,school
notebook,สมุด,This is my notebook.|I like the notebook.,school
eraser,ยางลบ,This is my eraser.|I like the eraser.,school
ruler,ไม้บรรทัด,This is my ruler.|I like the ruler.,school
phone,โทรศัพท์,This is my phone.|I like the phone.,home
computer,คอมพิวเตอร์,This is my computer.|I like the computer.,home
television,ทีวี,This is my television.|I like the television.,home
light,ไฟ,This is my light.|I like the light.,home
fan,พัดลม,This is my fan.|I like the fan.,home
shirt,เสื้อ,This is my shirt.|I like the shirt.,home
pants,กางเกง,This is my pants.|I like the pants.,home
shoes,รองเท้า,This is my shoes.|I like the shoes.,home
hat,หมวก,This is my hat.|I like the hat.,home
jacket,เสื้อแจ็กเก็ต,This is my jacket.|I like the jacket.,home
red,สีแดง,Red is fun.|We like red.,daily
blue,สีน้ำเงิน,Blue is fun.|We like blue.,daily
green,สีเขียว,Green is fun.|We like green.,daily
yellow,สีเหลือง,Yellow is fun.|We like yellow.,daily
black,สีดำ,Black is fun.|We like black.,daily
white,สีขาว,White is fun.|We like white.,daily
brown,สีน้ำตาล,Brown is fun.|We like brown.,daily
pink,สีชมพู,Pink is fun.|We like pink.,daily
purple,สีม่วง,Purple is fun.|We like purple.,daily
orange,สีส้ม,Orange is fun.|We like orange.,daily
big,ใหญ่,Big is fun.|We like big.,daily
small,เล็ก,Small is fun.|We like small.,daily
long,ยาว,Long is fun.|We like long.,daily
short,สั้น,Short is fun.|We like short.,daily
bag,กระเป๋า,This is my bag.|I like the bag.,school
